Nombre,TipoDoc,CUIT,Direccion,Email,Telefono,CondicionIVA,ItemsJSON
"CONS. EDIF. PROA II",80,"30674603572","9 de Julio 3182 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 12",80,"30707431055","1ero de Mayo 1376 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 2",80,"30621719730","San jeronimo 2033 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 5",80,"30674577466","1ero de Mayo 2520 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 6",80,"30640851755","9 De Julio 2091 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 8",80,"30709941174","1ero de Mayo 2551 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SOL",80,"30619840174","SAN MARTIN 3364 Santa fe Santa Fe","","","Exento","[]"
"CONS. TORRE  9 - BARRIO EL POZO",80,"30715191101","BARRIO EL POZO 0 Piso:2 Dpto:D T:9 Santa fe Santa Fe","","","Exento","[]"
"CONS. TORRE 11 BARRIO EL POZO",80,"30715091794","BARRIO EL POZO 0 Piso:9 Dpto:D T:11 Santa fe Santa Fe","","","Exento","[]"
"CONS. TORRE 1LAS FLORES II",80,"30641886765","REGIMIEMTO 12 DE INFANTERIA 4526 Piso:1 A Santa fe Santa Fe","","","Exento","[]"
"CONS. TORRE 2 LAS FLORES II",80,"30708984309","REGIMIENTO 12 DE INFANTERIA 4416 Santa fe Santa Fe","","","Exento","[]"
"CONS. TORRE 7 LAS FLORES II",80,"30706635587","REGIMIENTO 12 DE INFANTERIA 4417 Santa fe Santa Fe","","","Exento","[]"
"DIAGNOSTICO POR IMAGENES",80,"30654705581","JUNIN 2474 Santa fe Santa Fe","","","Responsable Inscripto","[]"
"DOMINGUEZLAB S.R.L.",80,"30713620102","MARTIN DE MOUSSY 41 Santa fe Santa Fe","","","Exento","[]"
"EDIF HERMES III",80,"30543661364","1era Junta 2507. Santa Fe. Santa fe Santa Fe","","","Exento","[]"
"EDIF.  BS AS PALACE",80,"30576642136","San Martin 1709 Santa fe Santa Fe","","","Exento","[]"
"EDIF. CELESTINO V",80,"30708597658","Santiago del Estero 2939. Santa Fe. Santa fe Santa Fe","","","Exento","[]"
"I.N.A (Fundacio?n ARGENTINIA)",80,"30676303657","Cerviño Av. 3101 Santa fe Santa Fe","","","Exento","[]"
"JORGE OSVALDO NIN",80,"20121479371","PJE. CERVANTES 3023 Santa fe Santa Fe","","","Exento","[]"
"MINISTERIO DE  AMBIENTE Y CAMBIO CLIMATICO",80,"30715112945","PATRICIO CULLEN 6161 Santa fe Santa Fe","","","Exento","[]"
"MUNICIPALIDAD DE SANTA FE",80,"30999033381","SALTA 2951 Santa fe Santa Fe","","","Exento","[]"
"UNIVERSIDAD NACIONAL DEL LITORAL",80,"30546670550","BOULEVARD PELLEGRINI 2750 Santa fe Santa Fe","","","Exento","[]"
"CONS EDIF GALI  II",80,"0000000000","Eva Perón 2833 Santa fe Santa Fe","","","Consumidor Final","[]"
"EDIF LATINO 2",80,"30715013513","San Lorenzo 2286 Santa fe Santa Fe","","","Exento","[]"
"CONS. TORRE 8 BARRIO LAS FLORES",80,"0000000000","","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 44",80,"0000000000","25 de Mayo 2059 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. SAN JERONIMO 53",80,"00000000000","Santa fe Santa Fe","","","Exento","[]"
"EDIF. BALMORAL",80,"30692364550","Junín 2661 Santa fe Santa Fe","","","Exento","[]"
