"Nombre","Tipo de identificación","Identificación","Condición de IVA","Teléfono 1","Teléfono 2","Fax","Celular","Provincia","Localidad","Código postal","Domicilio fiscal","Correo"
"CONS. EDIF. SAN JERONIMO 12","CUIT","30-70743105-5","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","1ero de Mayo 1376",
"CONS. EDIF. SAN JERONIMO 2","CUIT","30-62171973-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","San jeronimo 2033",
"CONS. EDIF. SAN JERONIMO 5","CUIT","30-67457746-6","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","1ero de Mayo 2520",
"CONS. EDIF. SAN JERONIMO 6","CUIT","30-64085175-5","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","9 De Julio 2091",
"CONS. EDIF. SAN JERONIMO 8","CUIT","30-70994117-4","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","1ero de Mayo 2551",
"CONS. EDIF. SOL","CUIT","30-61984017-4","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","SAN MARTIN 3364",
"CONS. TORRE  9 - BARRIO EL POZO","CUIT","30-71519110-1","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","BARRIO EL POZO 0 Piso:2 Dpto:D T:9",
"CONS. TORRE 11 BARRIO EL POZO","CUIT","30-71509179-4","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","BARRIO EL POZO 0 Piso:9 Dpto:D T:11",
"CONS. TORRE 1LAS FLORES II","CUIT","30-64188676-5","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","REGIMIEMTO 12 DE INFANTERIA 4526 Piso:1 A",
"CONS. TORRE 2 LAS FLORES II","CUIT","30-70898430-9","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","REGIMIENTO 12 DE INFANTERIA 4416",
"CONS. TORRE 7 LAS FLORES II","CUIT","30-70663558-7","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","REGIMIENTO 12 DE INFANTERIA 4417",
"DIAGNOSTICO POR IMAGENES","CUIT","30-65470558-1","IVA responsable inscripto",,,,,"Santa Fe","Santa fe","3000","JUNIN 2474",
"DOMINGUEZLAB S.R.L.","CUIT","30-71362010-2","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","MARTIN DE MOUSSY 41",
"EDIF HERMES III","CUIT","30-54366136-4","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","1era Junta 2507. Santa Fe.",
"EDIF.  BS AS PALACE","CUIT","30-57664213-6","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","San Martin 1709",
"EDIF. CELESTINO V","CUIT","30-70859765-8","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","Santiago del Estero 2939. Santa Fe.",
"I.N.A (Fundacio?n ARGENTINIA)","CUIT","30-67630365-7","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","Cerviño Av. 3101",
"JORGE OSVALDO NIN","CUIT","20-12147937-1","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","PJE. CERVANTES 3023",
"MINISTERIO DE  AMBIENTE Y CAMBIO CLIMATICO","CUIT","30-71511294-5","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","PATRICIO CULLEN 6161",
"MUNICIPALIDAD DE SANTA FE","CUIT","30-99903338-1","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","SALTA 2951",
"UNIVERSIDAD NACIONAL DEL LITORAL","CUIT","30-54667055-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","BOULEVARD PELLEGRINI 2750",
"CONS EDIF GALI  II","Otro","00-0000000-0","IVA No alcanzado",,,,,"Santa Fe","Santa fe","3000","Eva Perón 2833",
"EDIF LATINO 2","CUIT","30-71501351-3","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","San Lorenzo 2286",
"CONS. TORRE 8 BARRIO LAS FLORES","CUIT","0000000000","IVA sujeto exento",,,,,,,,,
"CONS. EDIF. SAN JERONIMO 44","Otro","00-0000000-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","25 de Mayo 2059",
"CONS. EDIF. SAN JERONIMO 53","Otro","00-00000000-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe",,,
"EDIF. BALMORAL","CUIT","30692364550","IVA sujeto exento",,,,"","Santa Fe","Santa fe","3000","Junín 2661",""
